DEPTH,LCAL,GR,RHOM,APLC,APLU
4221.7848,8.4224,24.362,2.5097,0.0657,0.0739
4221.6324,8.4058,23.3302,2.5065,0.0634,0.0707
4221.48,8.3943,22.7068,2.4951,0.0634,0.0701
4221.3276,8.431,22.6254,2.4867,0.0614,0.068
4221.1752,8.4425,21.8062,2.4818,0.0609,0.0673
4221.0228,8.4473,21.2076,2.4742,0.0684,0.0747
4220.8704,8.4456,21.3278,2.4594,0.0741,0.081
4220.718,8.4555,32.0876,2.489,0.0734,0.0805
4220.5656,8.4914,80.5203,2.5678,0.0725,0.0801
4220.4132,8.5038,142.5045,2.6717,0.0766,0.0849
4220.2608,8.506,195.9639,2.7558,0.0874,0.0969
4220.1084,8.5069,185.4755,2.7807,0.1119,0.1221
4219.956,8.5147,131.6338,2.704,0.1502,0.1601
4219.8036,8.6621,68.9193,2.6219,0.1752,0.1841
4219.6512,8.5399,31.3467,2.5562,0.1408,0.1513
4219.4988,8.5423,22.8154,2.5477,0.089,0.1009
4219.3464,8.5391,23.5119,2.5377,0.0629,0.0731
4219.194,8.5422,27.3091,2.5388,0.0593,0.0679
4219.0416,8.5391,34.1402,2.5166,0.0616,0.0696
4218.8892,8.5575,48.8542,2.5355,0.0663,0.0752
4218.7368,8.5985,79.1872,2.5658,0.0804,0.0921
4218.5844,8.9141,101.4691,2.557,0.1102,0.1235
4218.432,8.7268,92.2481,2.5245,0.1277,0.1415
4218.2796,8.726,57.8773,2.4974,0.1177,0.1328
4218.1272,8.727,30.8648,2.507,0.0913,0.1094
4217.9748,8.7261,24.0299,2.5191,0.0828,0.0969
4217.8224,8.7267,24.2703,2.5231,0.0779,0.0881
4217.67,8.725,23.2785,2.5205,0.0748,0.083
4217.5176,8.7119,24.0886,2.5181,0.0657,0.0732
4217.3652,8.6854,23.4652,2.5142,0.063,0.0696
4217.2128,8.6846,24.1282,2.5137,0.0622,0.0681
4217.0604,8.6857,24.6453,2.5182,0.0627,0.0684
4216.908,8.6858,29.1158,2.5328,0.0623,0.068
4216.7556,8.6853,34.2853,2.5401,0.0652,0.0705
4216.6032,8.6595,44.6849,2.5588,0.0648,0.0699
4216.4508,8.6198,63.9047,2.5941,0.0658,0.0706
4216.2984,8.6396,76.8869,2.6019,0.0647,0.0694
